#   line (B)  time (µs)
        1024       949.0
        2048       939.7
        4096       972.3
        8192       939.7
       16384       943.6
       32768       941.8
       65536      1996.0
      131072      2059.4
      262144      2065.8
      524288      2811.4
     1048576      2789.7
     2097152      3041.0
     4194304      5827.5
     8388608     10122.7
    16777216     11059.2
    33554432     10870.6
    67108864     11067.3
